frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
{{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4,5,0,1}|5.2.932.1|{-4,5,0,1}
{{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0}}|{3,7,11,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-4,-7,0,1}|5.2.188.2|{-4,-7,0,1}
{{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{6,0,-1,1}|5.2.948.1|{6,0,-1,1}
{{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{1,0,0,1},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4}}|{2,3,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,6,-1,1}|5.2.959.1|{1,6,-1,1}
{{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,-2,0,1}|5.2.964.1|{-12,-2,0,1}
{{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,3,4}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,-1,0,1}|5.2.971.1|{-12,-1,0,1}
{{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{1,0,0,1},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-5,6,-1,1}|5.2.983.1|{-5,6,-1,1}
{{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0}}|{7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,0,-1,1}|5.2.984.1|{-12,0,-1,1}
{{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,-6,-1,1}|5.2.197.1|{1,-6,-1,1}
{{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{3,-6,-1,1}|5.2.993.1|{3,-6,-1,1}
{{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{5,5,-1,1}|5.2.316.2|{5,5,-1,1}
{{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,89,97}|{-6,0,-1,1}|5.2.996.1|{-6,0,-1,1}
{{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0}}|{2,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-13,-3,0,1}|5.2.891.2|{-13,-3,0,1}
{{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0}}|{2,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{12,-3,-1,1}|5.2.123.1|{12,-3,-1,1}
{{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{16,-6,-1,1}|5.2.211.2|{16,-6,-1,1}
{{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{17,-8,-1,1}|5.2.127.1|{17,-8,-1,1}
{{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4}}|{7,11,13,17,19,23,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-15,-5,-1,1}|5.2.348.1|{-15,-5,-1,1}
{{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{1,0,0,1},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{2,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-5,15,0,1}|5.2.567.3|{-5,15,0,1}
{{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{2,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-40,15,0,1}|5.2.567.4|{-40,15,0,1}
{{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,-18,0,1}|5.2.972.3|{-12,-18,0,1}
{{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{12,12,-1,1}|5.2.132.1|{12,12,-1,1}
{{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{11,-6,-1,1}|5.2.227.1|{11,-6,-1,1}
{{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4}}|{2,3,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-5,-10,0,1}|5.2.133.1|{-5,-10,0,1}
{{0,3,2,0},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,59,61,67,71,73,79,83,89,97}|{-20,-20,0,1}|5.2.212.2|{-20,-20,0,1}
{{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-60,0,0,1}|5.2.972.4|{-60,0,0,1}
{{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-30,0,0,1}|5.2.972.5|{-30,0,0,1}
{{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-150,0,0,1}|5.2.972.6|{-150,0,0,1}
{{1,0,0,1},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-90,0,0,1}|5.2.972.7|{-90,0,0,1}
{{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4}}|{2,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-15,-15,0,1}|5.2.297.1|{-15,-15,0,1}
{{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89}|{-2,-8,0,1}|5.2.388.1|{-2,-8,0,1}
{{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0}}|{2,3,7,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-33,-8,-1,1}|5.2.143.1|{-33,-8,-1,1}
{{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0}}|{2,3,7,11,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{10,-5,-1,1}|5.2.247.2|{10,-5,-1,1}
{{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{5,4,-1,1}|5.2.251.1|{5,4,-1,1}
{{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0}}|{3,7,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-20,10,0,1}|5.2.148.2|{-20,10,0,1}
{{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-40,-30,0,1}|5.2.648.3|{-40,-30,0,1}
{{0,3,2,0},{1,0,0,1},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-80,-30,0,1}|5.2.648.4|{-80,-30,0,1}
{{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-10,15,0,1}|5.2.648.5|{-10,15,0,1}
{{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0}}|{2,3,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{7,0,-1,1}|5.2.259.1|{7,0,-1,1}
{{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,7,0,1}|5.2.263.1|{-12,7,0,1}
{{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1,-7,0,1}|5.2.269.1|{-1,-7,0,1}
{{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-7,2,0,1}|5.2.271.1|{-7,2,0,1}
{{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-18,-13,-1,1}|5.2.163.2|{-18,-13,-1,1}
{{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{1,0,0,1}}|{7,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{21,-11,-1,1}|5.2.444.1|{21,-11,-1,1}
{{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-13,2,-1,1}|5.2.167.2|{-13,2,-1,1}
{{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0}}|{11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-38,2,-1,1}|5.2.168.1|{-38,2,-1,1}
{{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,71,73,79,83,89,97}|{17,-3,-1,1}|5.2.268.2|{17,-3,-1,1}
{{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,3,4},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{1,0,0,1},{0,3,2,0}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,71,73,79,83,89,97}|{-10,10,0,1}|5.2.268.3|{-10,10,0,1}
{{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{1,0,0,1},{0,3,2,0},{0,3,2,0},{0,3,3,4}}|{3,7,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,7,0,1}|5.2.296.1|{-2,7,0,1}
{{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,3,4},{0,3,3,4},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,2,0},{0,3,3,4},{0,3,2,0},{0,3,2,0}}|{3,11,13,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-9,-1,-1,1}|5.2.476.1|{-9,-1,-1,1}
